Is Locker Enabled,Iteration,largest-contentful-paint,interactive,first-meaningful-paint,lwc-rehydrate,evaluateInSandbox
false,1,263.65,423.284,447.62,131.545,0
false,2,237.167,403.3180000000596,427.598,137.38,0
false,3,229.694,400.89,424.138,140.70000000000002,0
false,4,234.402,401.122,425.991,137.93099999999998,0
false,5,241.23,408.044,432.147,137.95499999999998,0
false,6,233.487,402.816,426.043,139.02,0
false,7,232.659,399.138,423.807,137.795,0
false,8,232.402,402.3609999999404,426.827,140.47,0
false,9,214.668,365.169,386.42,125.42500000000001,0
false,10,255.979,405.1649999999404,425.196,124.24,0
false,11,217.413,368.561,389.974,125.061,0
false,12,216.675,371.038,391.408,128.795,0
false,13,275.234,472.843,505.214,163.05300000000003,0
false,14,217.515,372.7710000000596,393.543,126.11500000000001,0
false,15,215.793,366.439,389.495,122.59,0
false,16,212.146,362.842,385.028,125.89,0
false,17,211.93,362.1500000000596,383.935,123.803,0
false,18,216.963,373.428,396.802,128.795,0
false,19,218.804,368.814,390.81,124.205,0
false,20,212.289,363.088,385.706,124.70000000000002,0
true,1,315.183,590.247,613.724,231.23399999999998,58.18599999999999
true,2,318.289,595.828,620.055,232.09,58.16499999999999
true,3,318.827,597.375,622.605,232.364,59.61300000000001
true,4,317.747,597.5960000000596,623.629,233.295,58.624999999999986
true,5,315.266,600.2199999999403,624.757,241.62400000000002,58.05799999999999
true,6,316.434,598.3620000000597,623.443,237.80200000000002,57.93999999999999
true,7,314.79,589.717,613.848,234.13499999999996,58.984999999999985
true,8,315.653,592.9419999999404,615.887,231.851,58.580000000000005
true,9,320.095,593.6880000000596,617.914,229.552,59.605999999999995
true,10,319.792,598.692,622.383,237.526,61.425999999999995
true,11,323.008,599.018,622.525,231.451,59.852000000000004
true,12,318.656,596.421,619.757,238.032,60.502
true,13,317.548,591.777,615.224,229.535,60.38999999999999
true,14,312.975,582.6879999999404,607.225,226.53,58.879999999999995
true,15,326.008,603.9179999998807,631.043,236.82999999999996,62.69499999999999
true,16,317.021,590.215,614.188,230.355,60.905
true,17,314.978,589.1509999998808,613.369,233.045,58.86
true,18,314.36,587.138,611.425,229.81,58.085
true,19,315.71,590.0259999998808,614.675,229.375,58.57000000000001
true,20,316.859,593.437,616.508,230.785,57.61
